Title,Price INR,Currency,Features,Shipping,Location,Quantity Sold,Product URL
"Apple iPhone 13, 128/256/512GB - Unlocked - Used  Good - All colors",0.0,INR,No features,N/A,N/A,N/A,https://cgi.sandbox.ebay.com/Apple-iPhone-13-128-256-512GB-Unlocked-Used-Good-All-colors-/110576814328?var=410109994851
"Apple iPhone 13, 128/256/512GB - Unlocked - Used Excellent - All colors",0.0,INR,No features,N/A,N/A,N/A,https://cgi.sandbox.ebay.com/Apple-iPhone-13-128-256-512GB-Unlocked-Used-Excellent-All-colors-/110576814330?var=410109992232
Iphone 13 pro max 52 gb,0.0,INR,No features,N/A,N/A,N/A,https://cgi.sandbox.ebay.com/Iphone-13-pro-max-52-gb-/110578057667
